objectid,mun_italian,mun_german,plz,loc_german,loc_italian,unkat_de,ctolomei2
486,Moso in Passiria,Moos in Passeier,39013,St. Martin am Schneeberg,San Martino Monteneve,412 - Historisches Bauwerk,4
1731,Brennero,Brenner,39041,Anichen,Anice,"409 - Weiler, Häusergruppe",5
1858,Rasun Anterselva,Rasen-Antholz,39030,Neunhäusern,Nove Case,"409 - Weiler, Häusergruppe",4
3911,Rodengo,Rodeneck,39037,Vill,Villa,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,3
6724,Racines,Ratschings,39040,Obertelfes,Telves di Sopra,408 - Ort < 1.000 Einwohner,1
7866,Valle di Casies,Gsies,39030,Ampfertal,Valleromice,"409 - Weiler, Häusergruppe",4
9319,Campo Tures,Sand in Taufers,39032,St. Walburg,S. Valburga,412 - Historisches Bauwerk,4
12232,Aldino,Aldein,39040,Jochgrimm,Occhini,304 - Kleines Gebiet,6
12954,Stelvio,Stilfs,39029,Faslar,Fossalara,"409 - Weiler, Häusergruppe",5
13365,Badia,Abtei,39036,Pedratsches,Pedraces,408 - Ort < 1.000 Einwohner,1
14201,Egna,Neumarkt,39044,Vill,Villa,408 - Ort < 1.000 Einwohner,3
14583,Castelbello-Ciardes,Kastelbell-Tschars,39020,Galsaun,Colsano,408 - Ort < 1.000 Einwohner,3
15587,Lana,Lana,39011,St. Peter,S. Pietro,412 - Historisches Bauwerk,4
17147,Bolzano,Bozen,39100,St. Peter,S. Pietro,"409 - Weiler, Häusergruppe",4
18759,La Valle,Wengen,39030,Pederoa,Pederoa,408 - Ort < 1.000 Einwohner,1
21054,Perca,Percha,39030,Unterwielenbach,Vila di Sotto,408 - Ort < 1.000 Einwohner,4
21163,Martello,Martell,39020,Ennewasser,Transacqua,408 - Ort < 1.000 Einwohner,4
21355,Lagundo,Algund,39022,Mitterplars,Plars di Mezzo,"409 - Weiler, Häusergruppe",0
22243,Castelrotto,Kastelruth,39040,St. Valentin,S. Valentino,"409 - Weiler, Häusergruppe",4
22372,Braies,Prags,39030,Plätzwiese,Prato Piazza,303 - Mittelgroßes Gebiet,4
23090,Chiusa,Klausen,39043,Frag,Fraghes,408 - Ort < 1.000 Einwohner,5
